player_name,overall,height_(cm),weight_(kg),pace,acceleration,sprint_speed,dribbling,agility,balance,reactions,ball_control,composure,shooting,positioning,finishing,shot_power,long_shots,volleys,penalties,passing,vision,crossing,free_kick,short_pass,long_pass,pass_curve,defending,interceptions,heading,marking,standing_tackle,sliding_tackle,physicality,jumping,stamina,strength,aggression,diving,reflexes,handling,speed,kicking,positoning
Jan Oblak,91,188,87,0,44,61,0,67,49,86,16,70,0,11,11,22,12,13,11,0,70,13,14,29,26,13,0,19,15,27,12,18,0,76,41,78,34,87,90,93,44,79,89
Giorgio Chiellini,90,187,85,70,65,73,61,54,55,83,57,85,47,28,33,79,50,45,51,57,50,59,31,60,60,61,92,88,84,94,94,90,83,90,61,88,93,0,0,0,0,0,0
Paulo Dybala,90,177,75,86,88,83,92,92,85,86,93,84,86,84,84,82,89,89,87,85,88,82,89,88,75,89,29,33,70,23,20,20,67,76,81,65,48,0,0,0,0,0,0
Sergio Agüero,90,173,70,85,89,80,90,86,92,90,90,91,90,93,94,88,82,85,83,77,84,70,72,82,63,83,29,24,76,31,20,12,74,82,77,74,65,0,0,0,0,0,0
David Josué Jimenez Silva,90,173,67,67,70,64,92,93,90,87,94,93,75,89,73,71,73,81,76,88,93,83,76,93,81,82,51,48,55,58,51,29,61,65,79,52,56,0,0,0,0,0,0
Marc-André ter Stegen,90,187,85,0,39,51,0,37,43,85,18,69,0,11,14,22,10,14,25,0,69,15,12,30,38,18,0,22,11,25,13,10,0,79,35,79,43,88,91,86,39,89,86
Mats Hummels,90,191,92,66,62,69,74,63,60,89,82,92,59,56,55,72,51,61,69,77,80,64,53,83,86,65,91,93,87,89,93,91,77,68,66,86,69,0,0,0,0,0,0
Harry Kane,90,188,89,71,68,73,82,71,71,92,85,90,91,94,95,88,85,82,91,80,81,75,68,81,83,78,48,35,86,57,36,38,84,78,90,85,76,0,0,0,0,0,0
Francisco Román Alarcón Suárez,90,176,79,73,76,69,93,87,90,79,96,86,82,80,86,69,90,65,76,86,91,75,74,90,84,89,62,67,55,60,65,51,63,65,71,59,58,0,0,0,0,0,0
Edinson Cavani,90,185,77,77,75,77,81,77,59,92,83,83,88,94,90,88,79,91,85,73,78,70,77,79,52,78,53,48,90,53,45,39,84,89,93,78,85,0,0,0,0,0,0
Antoine Griezmann,90,176,73,87,89,85,89,91,80,91,91,87,87,92,93,80,82,88,74,82,82,83,76,83,76,85,51,35,85,60,43,44,71,91,82,62,69,0,0,0,0,0,0
Paul Pogba,89,191,84,76,71,79,86,74,64,81,91,88,80,83,73,91,82,86,82,87,88,80,82,88,91,84,70,68,74,67,71,68,88,85,91,90,78,0,0,0,0,0,0
Sergio Busquets Burgos,89,189,76,44,42,45,79,66,52,86,86,89,63,78,68,61,54,44,60,80,87,62,68,89,80,66,86,88,68,91,87,80,81,66,87,77,86,0,0,0,0,0,0
Philippe Coutinho Correia,89,172,68,82,90,75,92,93,94,83,93,85,82,85,77,84,94,75,70,87,91,79,87,89,81,92,46,30,49,56,44,40,65,59,80,61,55,0,0,0,0,0,0
N'Golo Kanté,89,168,68,80,82,78,81,82,92,93,80,85,66,71,65,71,69,56,54,77,79,68,49,86,81,49,87,92,54,90,91,85,84,77,96,76,90,0,0,0,0,0,0
James Rodríguez,89,181,78,73,76,69,87,83,76,85,91,88,87,80,83,87,93,91,81,89,90,91,86,90,83,90,51,56,63,53,41,44,68,54,71,69,64,0,0,0,0,0,0
Mohamed Salah,89,175,71,93,95,91,90,92,88,92,88,92,85,91,91,77,83,73,61,80,83,78,60,83,72,84,46,56,60,38,43,41,73,68,85,70,63,0,0,0,0,0,0
Christian Eriksen,89,181,76,75,76,73,87,79,81,89,92,89,83,84,80,85,90,76,67,90,92,88,87,92,87,86,54,57,52,60,58,22,65,50,93,58,46,0,0,0,0,0,0
Hugo Lloris,89,188,82,0,66,62,0,55,54,85,34,65,0,10,10,23,14,11,40,0,30,13,10,50,50,11,0,27,10,29,10,18,0,74,41,43,31,89,93,85,66,69,84
Marcelo Vieira da Silva,89,174,80,83,84,83,91,86,86,88,93,86,72,86,67,84,70,54,59,84,82,91,67,85,76,86,82,86,75,75,86,87,83,76,92,78,85,0,0,0,0,0,0
Carlos Henrique Venancio Casimiro,89,185,84,63,59,66,73,62,66,85,79,85,70,70,59,87,80,53,66,76,78,52,74,86,83,59,88,88,76,89,91,88,89,89,87,90,87,0,0,0,0,0,0
Gareth Bale,89,185,81,96,94,96,86,82,65,86,86,87,89,85,86,93,92,85,76,85,79,88,88,86,80,91,59,60,85,54,55,52,77,88,75,81,65,0,0,0,0,0,0
Lorenzo Insigne,89,163,59,91,95,86,92,95,94,83,94,83,77,84,75,75,85,74,61,85,88,87,77,86,78,88,37,26,57,52,24,22,51,54,76,44,34,0,0,0,0,0,0
Thiago Emiliano da Silva,89,183,82,72,70,73,71,68,68,83,81,82,55,60,38,72,69,64,61,74,72,60,64,81,81,61,89,90,81,89,90,85,80,91,74,83,76,0,0,0,0,0,0
Gianluigi Buffon,89,192,92,0,50,43,0,55,49,79,28,70,0,12,15,39,13,17,22,0,50,13,13,37,35,20,0,28,13,13,11,11,0,75,39,69,38,89,84,88,50,75,91
Alexis Sánchez,88,169,74,83,87,79,90,92,87,87,87,86,84,85,84,85,84,84,77,80,84,82,78,77,75,80,46,51,74,38,44,35,78,88,84,72,80,0,0,0,0,0,0
Romelu Lukaku,88,190,94,85,77,91,76,60,46,88,74,84,85,90,89,89,74,79,78,77,77,79,66,79,74,74,36,27,89,30,30,30,88,71,84,95,76,0,0,0,0,0,0
Ivan Rakitic,88,184,78,63,67,59,83,72,66,77,88,81,85,79,83,85,91,80,82,88,86,84,84,88,91,89,73,76,58,73,75,70,70,39,85,66,67,0,0,0,0,0,0
Gerard Piqué Bernabeu,88,194,85,56,49,61,67,58,36,85,79,87,62,58,65,63,51,57,70,70,62,57,43,82,81,58,88,89,83,92,86,84,77,74,65,84,72,0,0,0,0,0,0
Samuel Umtiti,88,182,75,73,71,74,73,68,66,83,78,83,65,58,51,84,75,71,61,72,58,69,62,82,74,73,89,87,79,91,90,86,83,90,78,85,81,0,0,0,0,0,0
Jordi Alba Ramos,88,170,68,94,94,94,84,91,86,84,85,79,70,80,74,64,66,60,59,80,70,88,63,85,74,81,80,85,70,72,85,86,73,82,92,61,76,0,0,0,0,0,0
Jan Vertonghen,88,189,86,64,61,66,73,61,60,85,77,84,64,60,56,81,67,52,67,74,68,68,74,80,75,58,89,90,80,91,87,89,80,86,75,80,85,0,0,0,0,0,0
Keylor Navas,88,185,80,0,55,53,0,60,61,84,19,67,0,16,15,21,13,11,25,0,68,11,15,30,37,11,0,20,11,28,14,14,0,74,39,75,32,91,91,82,55,76,83
Gonzalo Higuaín,88,186,89,73,73,73,83,75,69,86,85,86,87,92,92,86,80,90,70,70,74,68,62,75,59,74,31,20,80,35,22,18,74,79,70,85,50,0,0,0,0,0,0
Kalidou Koulibaly,88,187,89,73,68,76,61,50,40,81,61,79,27,24,19,57,15,14,34,47,34,30,28,67,49,28,89,89,81,92,89,86,87,81,71,95,88,0,0,0,0,0,0
Dries Mertens,88,169,61,90,94,85,91,95,93,88,89,81,84,88,87,80,81,70,79,81,84,77,79,83,74,83,35,37,36,25,41,41,56,61,76,42,60,0,0,0,0,0,0
Marek Hamik,88,183,79,71,69,72,85,76,66,89,88,85,81,89,79,83,84,79,70,85,87,78,72,89,83,80,73,73,75,76,74,62,70,72,85,67,56,0,0,0,0,0,0
Kylian Mbappe Lottin,88,178,73,97,97,97,90,93,83,85,91,86,82,86,87,79,76,78,70,80,85,76,63,83,73,77,40,38,78,34,34,32,73,76,84,71,62,0,0,0,0,0,0
Samir Handanovic,88,193,92,0,51,55,0,47,36,83,16,69,0,12,10,22,19,12,23,0,41,12,14,36,34,12,0,22,10,25,10,13,0,78,41,71,25,87,89,86,51,69,89
Mauro Icardi,88,181,75,79,77,79,80,76,76,89,82,86,86,93,92,84,70,86,82,62,65,46,45,74,54,58,37,22,93,46,24,20,73,95,73,77,56,0,0,0,0,0,0
Medhi Benatia,87,189,94,71,67,74,66,59,53,83,64,83,46,38,48,67,24,44,41,55,47,45,27,66,66,34,88,86,83,90,88,85,86,86,69,94,87,0,0,0,0,0,0
Alex Sandro Lobo Silva,87,180,80,86,83,87,82,79,78,85,82,83,66,71,55,81,73,69,60,78,70,85,59,82,71,79,83,83,76,81,85,85,84,79,93,79,82,0,0,0,0,0,0
Leonardo Bonucci,87,190,85,62,57,66,72,60,52,85,76,87,59,38,48,75,66,58,71,70,75,44,61,78,86,56,88,91,86,91,86,80,81,86,70,84,83,0,0,0,0,0,0
Douglas Costa de Souza,87,172,70,96,98,93,92,94,92,84,92,84,76,77,67,87,81,77,78,82,85,85,78,85,68,85,44,49,51,46,38,34,66,61,79,63,55,0,0,0,0,0,0
Miralem Pjanic,87,178,72,67,67,67,87,77,79,84,90,87,71,71,60,79,83,73,80,87,89,80,93,90,85,87,74,79,60,76,75,70,70,61,78,66,71,0,0,0,0,0,0
Nemanja Matic,87,194,85,57,52,60,77,52,50,86,80,86,72,69,64,84,76,74,64,80,75,71,67,87,85,72,84,88,74,86,86,75,84,67,85,86,81,0,0,0,0,0,0
Fernando Luiz Rosa,87,179,67,68,69,68,80,72,78,87,83,80,75,70,69,84,79,75,61,79,75,68,72,86,82,70,84,89,63,87,86,80,80,76,80,76,88,0,0,0,0,0,0
Nicolás Otamendi,87,183,81,61,59,62,62,65,63,80,71,85,58,51,54,70,56,58,45,64,53,52,39,76,73,50,87,87,85,85,88,87,81,93,67,81,92,0,0,0,0,0,0
Ederson Santana de Moraes,87,188,86,0,65,63,0,60,48,86,37,70,0,20,14,42,18,18,17,0,67,20,20,56,55,15,0,25,14,28,15,8,0,58,41,68,35,86,88,81,65,91,83
Leroy Sané,87,183,75,96,93,97,87,89,81,81,85,78,82,85,82,87,78,86,71,79,83,84,68,80,64,83,39,34,73,36,32,35,71,64,80,71,61,0,0,0,0,0,0
Jérôme Boateng,87,192,90,74,69,77,67,56,52,83,71,85,51,47,34,79,59,53,46,73,76,69,31,76,85,53,86,81,86,86,88,89,84,75,69,92,81,0,0,0,0,0,0
Thomas Müller,87,186,75,75,73,76,79,75,72,93,83,84,84,94,88,78,80,85,60,81,86,79,59,84,72,82,51,59,83,44,41,44,72,82,88,68,57,0,0,0,0,0,0
Thiago Alcântara,87,174,70,74,79,69,90,91,86,84,91,85,75,80,69,76,80,91,76,85,87,72,77,91,88,86,68,79,54,68,63,65,64,76,76,59,57,0,0,0,0,0,0
Roberto Firmino Barbosa de Oliveira,87,181,76,78,79,77,87,80,81,87,89,88,84,88,88,81,76,81,72,81,86,72,65,87,75,81,62,58,78,60,65,42,79,82,91,74,73,0,0,0,0,0,0
Sadio Mané,87,175,69,95,96,93,88,92,86,86,86,80,81,88,85,83,74,71,71,77,83,73,64,80,71,74,43,35,63,43,43,38,74,76,85,67,74,0,0,0,0,0,0
Pierre-Emerick Aubameyang,87,187,80,94,93,95,80,76,70,86,82,84,84,89,87,81,78,86,76,75,77,77,74,77,64,78,37,48,79,27,25,36,70,79,76,76,43,0,0,0,0,0,0
Raphaël Varane,87,191,81,85,83,86,66,63,40,84,78,83,46,44,40,53,54,42,43,62,56,36,54,76,77,46,87,82,83,88,89,88,81,79,73,85,77,0,0,0,0,0,0
Marco Verratti,87,165,60,66,70,62,90,87,95,85,88,94,61,72,61,56,58,65,65,85,88,72,64,91,90,73,80,85,55,78,84,81,67,64,78,52,90,0,0,0,0,0,0
Ciro Immobile,87,185,85,82,78,85,82,77,63,87,83,81,87,91,90,86,80,87,78,63,65,55,51,74,49,70,39,40,81,34,33,32,76,77,75,76,77,0,0,0,0,0,0
Ivan Periic,87,186,80,87,84,89,84,78,74,81,86,80,81,87,79,85,79,82,76,81,79,85,75,83,77,73,63,70,81,65,52,54,79,85,90,79,65,0,0,0,0,0,0
Ronaldo Aparecido Rodrigues,87,198,91,64,60,67,63,46,36,86,69,85,70,53,57,93,83,60,60,65,59,45,77,77,71,52,88,83,95,86,91,85,75,45,61,84,73,0,0,0,0,0,0
Daniel Parejo Muñoz,87,182,74,48,52,43,80,66,72,81,85,78,81,82,79,79,83,72,84,89,86,84,91,91,87,90,72,82,63,70,72,60,72,51,79,73,63,0,0,0,0,0,0
Andrés Iniesta Luján,87,171,68,69,70,68,90,79,84,88,94,89,70,84,70,65,71,74,71,87,94,77,70,92,86,80,61,66,54,67,57,56,57,47,55,58,58,0,0,0,0,0,0
Sami Khedira,86,189,90,58,54,61,79,55,54,88,85,85,77,80,72,83,79,79,69,81,83,72,68,86,83,68,82,87,76,80,84,76,84,68,78,88,82,0,0,0,0,0,0
Blaise Matuidi,86,180,75,79,80,77,80,84,80,85,80,83,69,73,64,79,71,73,56,78,76,75,52,84,77,65,84,87,68,86,85,87,84,85,95,76,87,0,0,0,0,0,0
Marco Reus,86,180,71,86,87,86,87,87,81,85,87,83,87,87,87,89,87,89,85,83,87,77,85,87,71,90,45,51,50,48,36,38,65,71,69,68,49,0,0,0,0,0,0
Raheem Sterling,86,170,69,94,96,92,88,94,94,82,88,76,74,87,77,70,70,64,68,77,77,77,61,84,67,68,48,30,38,47,59,55,57,58,79,52,38,0,0,0,0,0,0
Vincent Kompany,86,190,85,57,52,60,67,57,41,88,71,82,55,41,45,76,56,46,64,66,59,61,52,74,67,61,86,82,84,88,86,84,82,72,66,88,88,0,0,0,0,0,0
Riyad Mahrez,86,179,67,86,89,83,91,94,88,77,89,86,80,81,81,80,82,72,77,82,82,82,78,83,76,85,38,39,49,45,31,18,60,62,77,55,48,0,0,0,0,0,0
Arturo Vidal,86,180,75,58,61,55,79,74,75,84,83,82,81,78,75,87,86,78,82,80,78,76,68,84,78,76,85,85,82,82,88,87,84,86,84,79,94,0,0,0,0,0,0
César Azpilicueta Tanco,86,178,78,76,76,76,74,72,73,88,79,78,55,62,46,68,60,51,66,78,74,81,58,81,80,68,87,89,76,88,90,86,77,76,87,71,82,0,0,0,0,0,0
David Alaba,86,180,76,83,86,79,81,79,77,85,84,79,74,77,63,84,83,68,81,81,77,82,85,83,81,78,82,85,75,80,83,80,76,83,88,71,69,0,0,0,0,0,0
Arjen Robben,86,180,80,80,84,76,89,87,91,85,89,85,86,84,86,87,87,87,78,82,84,80,82,83,71,91,33,38,52,30,26,26,63,60,65,68,47,0,0,0,0,0,0
Franck Ribéry,86,170,72,79,80,79,89,86,92,84,89,85,77,81,77,75,72,81,79,83,86,81,81,85,74,84,31,34,42,32,25,26,58,34,60,61,51,0,0,0,0,0,0
Joshua Kimmich,86,176,70,74,79,69,83,85,84,86,86,83,69,81,66,76,70,61,44,84,79,91,61,86,80,81,78,80,74,72,82,80,74,80,86,65,75,0,0,0,0,0,0
Alisson Ramses Becker,86,191,91,0,55,45,0,40,37,83,30,65,0,13,13,21,14,20,23,0,66,17,18,45,44,19,0,11,19,15,19,16,0,52,32,78,27,83,89,82,55,86,84
Fábio Henrique Tavares,86,188,78,72,69,73,78,69,67,84,83,85,70,71,66,79,65,47,92,79,76,80,53,84,79,71,85,85,75,83,89,86,85,75,94,79,86,0,0,0,0,0,0
Virgil van Dijk,86,193,92,72,67,76,71,61,49,84,74,84,61,41,52,82,65,45,63,68,59,53,71,77,79,60,86,86,82,84,89,83,85,86,71,93,81,0,0,0,0,0,0
Toby Alderweireld,86,186,81,63,59,66,67,60,50,87,71,82,58,59,45,79,66,38,59,73,67,64,69,78,82,63,89,84,82,91,92,85,79,85,74,80,81,0,0,0,0,0,0
Mesut Özil,86,180,76,70,72,69,84,79,70,84,90,78,73,83,72,70,75,80,67,86,91,83,77,89,82,84,24,24,54,24,16,19,58,48,69,57,48,0,0,0,0,0,0
Marco Asensio Willemsen,86,182,76,82,84,80,86,77,76,79,87,83,85,80,85,87,89,79,62,84,85,82,76,86,82,84,44,46,51,40,42,39,61,58,73,62,45,0,0,0,0,0,0
Yacine Brahimi,86,175,66,81,88,75,91,93,87,84,86,91,76,84,77,69,77,73,76,79,80,80,79,80,72,85,42,38,47,52,36,25,60,73,86,49,46,0,0,0,0,0,0
Kostas Manolas,86,189,83,84,80,86,63,69,59,86,66,80,19,26,10,42,12,16,27,43,22,27,10,61,62,30,87,87,80,87,88,90,83,87,76,83,87,0,0,0,0,0,0
Jorge Resurrección,86,176,74,70,72,68,83,74,78,86,87,78,76,85,72,85,82,56,59,89,87,86,76,91,90,85,70,66,61,81,70,51,79,61,85,80,71,0,0,0,0,0,0
Saúl Ñíguez Esclápez,86,184,77,71,72,71,83,76,68,83,86,84,78,83,79,79,80,70,55,80,83,69,60,86,84,63,79,79,84,77,80,76,77,80,82,77,69,0,0,0,0,0,0
Diego da Silva Costa,86,188,86,76,74,77,77,58,53,86,84,84,84,88,88,84,74,81,75,65,75,66,59,66,52,62,50,40,83,59,39,34,88,64,76,93,94,0,0,0,0,0,0
Filipe Luís Kasmirski,86,182,74,76,77,76,80,75,62,86,84,89,63,72,59,72,60,56,66,79,70,87,75,81,77,74,82,85,72,78,85,87,80,71,90,74,82,0,0,0,0,0,0
Radamel Falcao García Zarate,86,177,72,68,70,66,79,76,75,88,83,88,85,91,88,79,80,86,81,70,71,55,74,80,58,84,44,41,92,39,42,19,75,92,68,76,76,0,0,0,0,0,0
Radja Nainggolan,86,176,77,76,79,73,83,76,83,88,86,85,80,87,75,85,87,75,63,79,76,73,68,85,82,73,84,87,59,84,87,91,84,76,94,77,89,0,0,0,0,0,0
Milan kriniar,86,187,80,73,70,74,63,48,48,82,68,81,42,30,43,51,30,40,57,58,58,40,30,71,69,34,88,86,80,93,89,82,83,78,77,84,87,0,0,0,0,0,0
João Miranda de Souza Filho,86,186,78,69,66,70,70,61,57,82,74,82,50,43,43,71,41,52,50,61,58,48,39,71,70,32,89,85,80,91,91,85,77,83,65,80,84,0,0,0,0,0,0
Nabil Fekir,86,173,75,80,80,80,90,91,92,80,90,90,83,81,83,85,83,77,81,82,82,84,79,84,75,82,34,28,50,31,38,25,80,69,81,82,73,0,0,0,0,0,0
Andrea Barzagli,85,187,87,69,61,74,66,52,64,81,66,89,35,28,21,55,40,36,61,58,63,40,31,66,66,50,90,91,72,95,91,82,73,82,53,84,66,0,0,0,0,0,0
Wojciech Szczesny,85,195,90,0,52,47,0,55,51,82,22,65,0,14,12,15,14,14,18,0,48,12,14,32,36,16,0,15,16,20,13,12,0,71,45,65,40,86,88,82,52,72,83
Mario Mandukic,85,190,85,71,67,74,76,67,53,87,78,81,79,91,85,81,60,87,76,72,75,73,49,76,67,64,67,67,91,59,64,64,86,86,83,86,89,0,0,0,0,0,0
Mattia Perin,85,188,77,0,58,56,0,70,30,79,23,65,0,12,11,23,17,19,21,0,44,11,13,33,31,15,0,19,12,20,12,19,0,75,30,52,25,82,91,86,58,72,80
Juan Cuadrado,85,179,72,92,89,94,88,92,82,80,85,80,75,79,67,85,81,70,65,78,76,81,69,81,69,79,67,62,58,63,71,75,70,76,79,61,79,0,0,0,0,0,0
Ilkay Gündogan,85,180,80,69,67,69,85,78,78,86,87,88,75,80,72,78,73,76,77,84,87,74,74,89,84,81,70,78,50,74,68,64,71,61,69,73,71,0,0,0,0,0,0
Bernardo Mota Carvalho e Silva,85,173,64,79,84,74,90,88,86,82,90,85,73,82,75,70,71,66,66,84,85,86,63,86,78,84,47,50,52,50,44,35,59,50,79,48,58,0,0,0,0,0,0
Kyle Walker,85,183,70,91,86,94,78,67,72,84,79,75,64,67,51,87,69,57,64,76,69,82,71,79,67,77,82,82,74,78,85,84,81,84,90,75,78,0,0,0,0,0,0
Sergio Roberto Carnicer,85,178,68,79,77,79,78,69,74,81,83,72,64,70,64,66,67,50,57,82,84,84,60,87,77,70,81,82,72,75,87,86,72,47,84,69,68,0,0,0,0,0,0
Niklas Süle,85,195,97,68,52,80,51,33,33,80,64,73,42,26,20,78,63,31,32,53,30,30,30,79,64,28,84,82,87,82,86,84,83,38,65,95,83,0,0,0,0,0,0
Javier Martínez Aginaga,85,190,81,52,49,54,66,53,48,85,75,81,56,51,43,77,63,59,52,71,76,60,45,78,78,46,87,89,88,85,87,87,84,86,74,85,91,0,0,0,0,0,0
Heung Min Son,85,183,65,87,88,85,86,80,76,84,86,81,86,86,86,87,89,75,71,77,81,79,70,80,64,82,43,39,66,49,34,33,69,63,86,63,60,0,0,0,0,0,0
Davinson Sánchez,85,187,79,77,72,80,68,60,55,81,74,76,46,34,40,67,44,28,44,56,44,36,27,76,66,30,85,82,80,85,86,89,83,73,76,84,88,0,0,0,0,0,0
Moussa Dembélé,85,185,82,73,73,73,88,79,76,84,90,91,71,71,66,82,71,74,63,78,81,65,55,87,81,65,79,83,70,75,84,70,83,75,70,91,79,0,0,0,0,0,0
Dele Alli,85,188,80,76,73,77,83,76,62,86,86,87,82,87,84,78,80,79,68,79,85,69,58,85,79,75,66,68,78,64,63,57,79,67,91,71,85,0,0,0,0,0,0
Karim Benzema,85,185,81,77,77,77,82,76,61,84,86,79,80,86,78,82,75,78,83,77,85,75,73,83,55,80,33,22,80,48,15,12,76,70,72,81,65,0,0,0,0,0,0
Daniel Carvajal Ramos,85,173,73,83,79,85,80,82,80,83,84,77,46,62,41,65,36,34,46,74,57,84,47,82,71,72,83,84,70,84,84,86,79,76,85,74,82,0,0,0,0,0,0
Raúl Albiol Tortajada,85,190,82,54,55,54,65,53,56,83,72,76,42,30,27,66,54,31,37,62,57,38,45,75,73,53,87,87,77,90,88,85,76,78,55,83,82,0,0,0,0,0,0
José María Callejón Bueno,85,178,73,89,87,89,84,86,80,82,86,79,79,89,79,79,81,85,62,76,79,83,65,81,51,73,48,40,66,65,32,32,66,74,92,55,54,0,0,0,0,0,0
Alex Nicolao Telles,85,181,71,86,84,86,81,73,70,84,83,81,72,77,65,81,76,67,68,84,74,90,79,84,87,88,81,81,74,81,82,79,78,82,93,68,79,0,0,0,0,0,0
Edin Deko,85,193,84,66,65,66,75,57,36,83,84,83,85,89,89,86,79,77,67,71,74,63,54,77,72,65,46,50,84,58,28,16,73,66,76,80,51,0,0,0,0,0,0
Marcos Aoas Corrêa,85,183,75,76,73,77,69,70,69,82,77,80,39,47,33,54,35,31,31,70,51,73,32,82,79,49,86,84,80,86,88,88,77,87,75,74,81,0,0,0,0,0,0
Ángel Di María,85,180,69,86,87,86,86,93,77,80,84,82,77,83,72,84,78,78,73,83,83,84,83,83,79,85,48,38,52,35,60,57,67,73,74,60,74,0,0,0,0,0,0
José María Giménez,85,185,80,69,66,71,54,57,43,77,57,74,46,24,37,73,49,30,38,52,27,47,44,69,59,36,87,85,79,89,87,88,83,93,67,86,90,0,0,0,0,0,0
Sergej Milinkovic-Savic,85,191,76,69,68,70,82,66,59,80,87,82,79,79,80,83,80,74,56,80,85,64,75,85,85,78,77,78,86,75,77,72,84,85,85,88,73,0,0,0,0,0,0
Jonas Gonçalves Oliveira,85,181,74,65,66,65,85,77,69,86,89,88,87,88,89,84,85,85,84,78,84,70,77,76,75,86,39,34,86,31,36,25,66,70,74,63,61,0,0,0,0,0,0
Stefan de Vrij,85,189,78,69,67,70,68,61,59,81,72,83,42,32,25,66,61,27,42,61,59,49,16,72,72,45,87,88,80,89,88,83,77,77,66,81,79,0,0,0,0,0,0
Képler Laveran Lima Ferreira,85,188,81,68,65,70,62,63,49,83,62,79,51,40,46,63,56,23,57,57,48,46,47,70,61,44,85,85,80,86,85,82,81,76,60,86,94,0,0,0,0,0,0
Iago Aspas Juncal,85,175,67,81,85,78,86,87,74,86,87,85,86,89,90,79,82,86,82,77,75,80,76,81,64,83,35,39,78,39,21,18,65,68,75,60,63,0,0,0,0,0,0
Anthony Lopes,85,184,81,0,64,65,0,67,62,84,21,65,0,9,18,20,18,13,16,0,48,19,14,32,31,15,0,25,16,13,15,13,0,82,36,73,43,87,88,81,64,75,82
Norberto Murara Neto,85,190,84,0,54,49,0,59,49,79,24,64,0,11,15,28,20,12,22,0,42,11,13,36,41,12,0,15,14,17,14,15,0,80,39,63,40,87,83,85,54,80,79
Rodrigo Moreno Machado,85,182,77,91,88,93,83,85,77,83,83,77,82,85,83,84,79,82,77,74,75,72,67,79,58,84,45,31,84,45,41,40,72,79,79,73,60,0,0,0,0,0,0
Zlatan Ibrahimovic,85,195,95,59,58,59,79,74,39,82,84,90,86,85,86,90,82,86,89,77,79,73,82,79,73,82,34,20,83,28,37,24,78,68,61,86,84,0,0,0,0,0,0
José Paulo Bezerra M. Júnior,85,181,81,73,73,73,81,69,66,84,84,80,81,84,81,83,80,75,71,77,78,64,72,84,80,66,79,81,85,75,81,73,84,90,92,81,81,0,0,0,0,0,0
