player_name,acceleration,sprint_speed,agility,balance,reactions,ball_control,composure,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick,short_pass,long_pass,pass_curve,interceptions,heading,marking,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,classification
Kalidou Koulibaly,68,76,50,40,81,61,79,24,19,57,15,14,34,34,30,28,67,49,28,89,81,92,89,86,81,71,95,88,strong_defensive_minded
Dries Mertens,94,85,95,93,88,89,81,88,87,80,81,70,79,84,77,79,83,74,83,37,36,25,41,41,61,76,42,60,technical_finishing_attackers
Marek Hamik,69,72,76,66,89,88,85,89,79,83,84,79,70,87,78,72,89,83,80,73,75,76,74,62,72,85,67,56,all_rounders_passers
Kylian Mbappe Lottin,97,97,93,83,85,91,86,86,87,79,76,78,70,85,76,63,83,73,77,38,78,34,34,32,76,84,71,62,technical_finishing_attackers
Mauro Icardi,77,79,76,76,89,82,86,93,92,84,70,86,82,65,46,45,74,54,58,22,93,46,24,20,95,73,77,56,technical_finishing_attackers
Medhi Benatia,67,74,59,53,83,64,83,38,48,67,24,44,41,47,45,27,66,66,34,86,83,90,88,85,86,69,94,87,def_ball_winners
Alex Sandro Lobo Silva,83,87,79,78,85,82,83,71,55,81,73,69,60,70,85,59,82,71,79,83,76,81,85,85,79,93,79,82,all_rounders_passers
Leonardo Bonucci,57,66,60,52,85,76,87,38,48,75,66,58,71,75,44,61,78,86,56,91,86,91,86,80,86,70,84,83,all_rounders_passers
Douglas Costa de Souza,98,93,94,92,84,92,84,77,67,87,81,77,78,85,85,78,85,68,85,49,51,46,38,34,61,79,63,55,technical_finishing_attackers
Miralem Pjanic,67,67,77,79,84,90,87,71,60,79,83,73,80,89,80,93,90,85,87,79,60,76,75,70,61,78,66,71,all_rounders_passers
Nemanja Matic,52,60,52,50,86,80,86,69,64,84,76,74,64,75,71,67,87,85,72,88,74,86,86,75,67,85,86,81,all_rounders_passers
Fernando Luiz Rosa,69,68,72,78,87,83,80,70,69,84,79,75,61,75,68,72,86,82,70,89,63,87,86,80,76,80,76,88,all_rounders_passers
Nicolás Otamendi,59,62,65,63,80,71,85,51,54,70,56,58,45,53,52,39,76,73,50,87,85,85,88,87,93,67,81,92,all_rounders_passers
Leroy Sané,93,97,89,81,81,85,78,85,82,87,78,86,71,83,84,68,80,64,83,34,73,36,32,35,64,80,71,61,technical_finishing_attackers
Jérôme Boateng,69,77,56,52,83,71,85,47,34,79,59,53,46,76,69,31,76,85,53,81,86,86,88,89,75,69,92,81,all_rounders_passers
Thomas Müller,73,76,75,72,93,83,84,94,88,78,80,85,60,86,79,59,84,72,82,59,83,44,41,44,82,88,68,57,technical_finishing_attackers
Thiago Alcântara,79,69,91,86,84,91,85,80,69,76,80,91,76,87,72,77,91,88,86,79,54,68,63,65,76,76,59,57,all_rounders_passers
Roberto Firmino Barbosa de Oliveira,79,77,80,81,87,89,88,88,88,81,76,81,72,86,72,65,87,75,81,58,78,60,65,42,82,91,74,73,all_rounders_passers
Sadio Mané,96,93,92,86,86,86,80,88,85,83,74,71,71,83,73,64,80,71,74,35,63,43,43,38,76,85,67,74,technical_finishing_attackers
Pierre-Emerick Aubameyang,93,95,76,70,86,82,84,89,87,81,78,86,76,77,77,74,77,64,78,48,79,27,25,36,79,76,76,43,technical_finishing_attackers
Raphaël Varane,83,86,63,40,84,78,83,44,40,53,54,42,43,56,36,54,76,77,46,82,83,88,89,88,79,73,85,77,all_rounders_passers
Marco Verratti,70,62,87,95,85,88,94,72,61,56,58,65,65,88,72,64,91,90,73,85,55,78,84,81,64,78,52,90,all_rounders_passers
Ciro Immobile,78,85,77,63,87,83,81,91,90,86,80,87,78,65,55,51,74,49,70,40,81,34,33,32,77,75,76,77,technical_finishing_attackers
Ivan Periic,84,89,78,74,81,86,80,87,79,85,79,82,76,79,85,75,83,77,73,70,81,65,52,54,85,90,79,65,all_rounders_passers
Ronaldo Aparecido Rodrigues,60,67,46,36,86,69,85,53,57,93,83,60,60,59,45,77,77,71,52,83,95,86,91,85,45,61,84,73,all_rounders_passers
Daniel Parejo Muñoz,52,43,66,72,81,85,78,82,79,79,83,72,84,86,84,91,91,87,90,82,63,70,72,60,51,79,73,63,all_rounders_passers
Andrés Iniesta Luján,70,68,79,84,88,94,89,84,70,65,71,74,71,94,77,70,92,86,80,66,54,67,57,56,47,55,58,58,all_rounders_passers
Sami Khedira,54,61,55,54,88,85,85,80,72,83,79,79,69,83,72,68,86,83,68,87,76,80,84,76,68,78,88,82,all_rounders_passers
Blaise Matuidi,80,77,84,80,85,80,83,73,64,79,71,73,56,76,75,52,84,77,65,87,68,86,85,87,85,95,76,87,all_rounders_passers
Marco Reus,87,86,87,81,85,87,83,87,87,89,87,89,85,87,77,85,87,71,90,51,50,48,36,38,71,69,68,49,technical_finishing_attackers
Raheem Sterling,96,92,94,94,82,88,76,87,77,70,70,64,68,77,77,61,84,67,68,30,38,47,59,55,58,79,52,38,technical_finishing_attackers
Vincent Kompany,52,60,57,41,88,71,82,41,45,76,56,46,64,59,61,52,74,67,61,82,84,88,86,84,72,66,88,88,all_rounders_passers
Riyad Mahrez,89,83,94,88,77,89,86,81,81,80,82,72,77,82,82,78,83,76,85,39,49,45,31,18,62,77,55,48,technical_finishing_attackers
Arturo Vidal,61,55,74,75,84,83,82,78,75,87,86,78,82,78,76,68,84,78,76,85,82,82,88,87,86,84,79,94,all_rounders_passers
César Azpilicueta Tanco,76,76,72,73,88,79,78,62,46,68,60,51,66,74,81,58,81,80,68,89,76,88,90,86,76,87,71,82,all_rounders_passers
David Alaba,86,79,79,77,85,84,79,77,63,84,83,68,81,77,82,85,83,81,78,85,75,80,83,80,83,88,71,69,all_rounders_passers
Arjen Robben,84,76,87,91,85,89,85,84,86,87,87,87,78,84,80,82,83,71,91,38,52,30,26,26,60,65,68,47,technical_finishing_attackers
Franck Ribéry,80,79,86,92,84,89,85,81,77,75,72,81,79,86,81,81,85,74,84,34,42,32,25,26,34,60,61,51,technical_finishing_attackers
Joshua Kimmich,79,69,85,84,86,86,83,81,66,76,70,61,44,79,91,61,86,80,81,80,74,72,82,80,80,86,65,75,all_rounders_passers
Fábio Henrique Tavares,69,73,69,67,84,83,85,71,66,79,65,47,92,76,80,53,84,79,71,85,75,83,89,86,75,94,79,86,all_rounders_passers
Virgil van Dijk,67,76,61,49,84,74,84,41,52,82,65,45,63,59,53,71,77,79,60,86,82,84,89,83,86,71,93,81,all_rounders_passers
Toby Alderweireld,59,66,60,50,87,71,82,59,45,79,66,38,59,67,64,69,78,82,63,84,82,91,92,85,85,74,80,81,all_rounders_passers
Mesut Özil,72,69,79,70,84,90,78,83,72,70,75,80,67,91,83,77,89,82,84,24,54,24,16,19,48,69,57,48,technical_finishing_attackers
Marco Asensio Willemsen,84,80,77,76,79,87,83,80,85,87,89,79,62,85,82,76,86,82,84,46,51,40,42,39,58,73,62,45,technical_finishing_attackers
Yacine Brahimi,88,75,93,87,84,86,91,84,77,69,77,73,76,80,80,79,80,72,85,38,47,52,36,25,73,86,49,46,technical_finishing_attackers
Kostas Manolas,80,86,69,59,86,66,80,26,10,42,12,16,27,22,27,10,61,62,30,87,80,87,88,90,87,76,83,87,strong_defensive_minded
Jorge Resurrección,72,68,74,78,86,87,78,85,72,85,82,56,59,87,86,76,91,90,85,66,61,81,70,51,61,85,80,71,all_rounders_passers
Saúl Ñíguez Esclápez,72,71,76,68,83,86,84,83,79,79,80,70,55,83,69,60,86,84,63,79,84,77,80,76,80,82,77,69,all_rounders_passers
Diego da Silva Costa,74,77,58,53,86,84,84,88,88,84,74,81,75,75,66,59,66,52,62,40,83,59,39,34,64,76,93,94,technical_finishing_attackers
Filipe Luís Kasmirski,77,76,75,62,86,84,89,72,59,72,60,56,66,70,87,75,81,77,74,85,72,78,85,87,71,90,74,82,all_rounders_passers
Radamel Falcao García Zarate,70,66,76,75,88,83,88,91,88,79,80,86,81,71,55,74,80,58,84,41,92,39,42,19,92,68,76,76,technical_finishing_attackers
Radja Nainggolan,79,73,76,83,88,86,85,87,75,85,87,75,63,76,73,68,85,82,73,87,59,84,87,91,76,94,77,89,all_rounders_passers
Milan kriniar,70,74,48,48,82,68,81,30,43,51,30,40,57,58,40,30,71,69,34,86,80,93,89,82,78,77,84,87,def_ball_winners
João Miranda de Souza Filho,66,70,61,57,82,74,82,43,43,71,41,52,50,58,48,39,71,70,32,85,80,91,91,85,83,65,80,84,def_ball_winners
Nabil Fekir,80,80,91,92,80,90,90,81,83,85,83,77,81,82,84,79,84,75,82,28,50,31,38,25,69,81,82,73,technical_finishing_attackers
Andrea Barzagli,61,74,52,64,81,66,89,28,21,55,40,36,61,63,40,31,66,66,50,91,72,95,91,82,82,53,84,66,def_ball_winners
Mario Mandukic,67,74,67,53,87,78,81,91,85,81,60,87,76,75,73,49,76,67,64,67,91,59,64,64,86,83,86,89,all_rounders_passers
Juan Cuadrado,89,94,92,82,80,85,80,79,67,85,81,70,65,76,81,69,81,69,79,62,58,63,71,75,76,79,61,79,all_rounders_passers
Ilkay Gündogan,67,69,78,78,86,87,88,80,72,78,73,76,77,87,74,74,89,84,81,78,50,74,68,64,61,69,73,71,all_rounders_passers
Bernardo Mota Carvalho e Silva,84,74,88,86,82,90,85,82,75,70,71,66,66,85,86,63,86,78,84,50,52,50,44,35,50,79,48,58,technical_finishing_attackers
Kyle Walker,86,94,67,72,84,79,75,67,51,87,69,57,64,69,82,71,79,67,77,82,74,78,85,84,84,90,75,78,all_rounders_passers
Sergio Roberto Carnicer,77,79,69,74,81,83,72,70,64,66,67,50,57,84,84,60,87,77,70,82,72,75,87,86,47,84,69,68,all_rounders_passers
Niklas Süle,52,80,33,33,80,64,73,26,20,78,63,31,32,30,30,30,79,64,28,82,87,82,86,84,38,65,95,83,strong_defensive_minded
Javier Martínez Aginaga,49,54,53,48,85,75,81,51,43,77,63,59,52,76,60,45,78,78,46,89,88,85,87,87,86,74,85,91,all_rounders_passers
Heung Min Son,88,85,80,76,84,86,81,86,86,87,89,75,71,81,79,70,80,64,82,39,66,49,34,33,63,86,63,60,technical_finishing_attackers
Davinson Sánchez,72,80,60,55,81,74,76,34,40,67,44,28,44,44,36,27,76,66,30,82,80,85,86,89,73,76,84,88,def_ball_winners
Moussa Dembélé,73,73,79,76,84,90,91,71,66,82,71,74,63,81,65,55,87,81,65,83,70,75,84,70,75,70,91,79,all_rounders_passers
Dele Alli,73,77,76,62,86,86,87,87,84,78,80,79,68,85,69,58,85,79,75,68,78,64,63,57,67,91,71,85,all_rounders_passers
Karim Benzema,77,77,76,61,84,86,79,86,78,82,75,78,83,85,75,73,83,55,80,22,80,48,15,12,70,72,81,65,technical_finishing_attackers
Daniel Carvajal Ramos,79,85,82,80,83,84,77,62,41,65,36,34,46,57,84,47,82,71,72,84,70,84,84,86,76,85,74,82,all_rounders_passers
Raúl Albiol Tortajada,55,54,53,56,83,72,76,30,27,66,54,31,37,57,38,45,75,73,53,87,77,90,88,85,78,55,83,82,def_ball_winners
José María Callejón Bueno,87,89,86,80,82,86,79,89,79,79,81,85,62,79,83,65,81,51,73,40,66,65,32,32,74,92,55,54,technical_finishing_attackers
Alex Nicolao Telles,84,86,73,70,84,83,81,77,65,81,76,67,68,74,90,79,84,87,88,81,74,81,82,79,82,93,68,79,all_rounders_passers
Edin Deko,65,66,57,36,83,84,83,89,89,86,79,77,67,74,63,54,77,72,65,50,84,58,28,16,66,76,80,51,technical_finishing_attackers
Marcos Aoas Corrêa,73,77,70,69,82,77,80,47,33,54,35,31,31,51,73,32,82,79,49,84,80,86,88,88,87,75,74,81,def_ball_winners
Ángel Di María,87,86,93,77,80,84,82,83,72,84,78,78,73,83,84,83,83,79,85,38,52,35,60,57,73,74,60,74,technical_finishing_attackers
José María Giménez,66,71,57,43,77,57,74,24,37,73,49,30,38,27,47,44,69,59,36,85,79,89,87,88,93,67,86,90,strong_defensive_minded
Sergej Milinkovic-Savic,68,70,66,59,80,87,82,79,80,83,80,74,56,85,64,75,85,85,78,78,86,75,77,72,85,85,88,73,all_rounders_passers
Jonas Gonçalves Oliveira,66,65,77,69,86,89,88,88,89,84,85,85,84,84,70,77,76,75,86,34,86,31,36,25,70,74,63,61,technical_finishing_attackers
Stefan de Vrij,67,70,61,59,81,72,83,32,25,66,61,27,42,59,49,16,72,72,45,88,80,89,88,83,77,66,81,79,def_ball_winners
Képler Laveran Lima Ferreira,65,70,63,49,83,62,79,40,46,63,56,23,57,48,46,47,70,61,44,85,80,86,85,82,76,60,86,94,def_ball_winners
Iago Aspas Juncal,85,78,87,74,86,87,85,89,90,79,82,86,82,75,80,76,81,64,83,39,78,39,21,18,68,75,60,63,technical_finishing_attackers
Rodrigo Moreno Machado,88,93,85,77,83,83,77,85,83,84,79,82,77,75,72,67,79,58,84,31,84,45,41,40,79,79,73,60,technical_finishing_attackers
Zlatan Ibrahimovic,58,59,74,39,82,84,90,85,86,90,82,86,89,79,73,82,79,73,82,20,83,28,37,24,68,61,86,84,technical_finishing_attackers
José Paulo Bezerra M. Júnior,73,73,69,66,84,84,80,84,81,83,80,75,71,78,64,72,84,80,66,81,85,75,81,73,90,92,81,81,all_rounders_passers
Shinji Kagawa,78,60,92,89,83,85,83,83,78,54,57,77,81,83,65,63,87,76,74,60,48,57,53,49,66,83,39,30,technical_finishing_attackers
Anthony Martial,88,90,85,81,81,87,79,83,83,85,75,74,82,74,77,54,78,60,85,43,70,38,39,36,79,76,76,58,technical_finishing_attackers
Juan Manuel Mata García,70,62,84,90,86,89,88,84,79,75,72,71,82,86,83,85,86,79,85,40,57,43,31,21,71,72,37,51,technical_finishing_attackers
Aymeric Laporte,62,68,45,55,83,73,75,55,45,69,47,40,41,56,58,70,76,79,61,86,86,84,87,86,75,65,82,75,all_rounders_passers
Gabriel Fernando de Jesus,88,85,93,92,87,85,82,89,85,78,73,72,78,78,66,54,77,66,77,32,75,54,23,19,78,85,68,74,technical_finishing_attackers
Malcom Filipe Silva de Oliveira,88,82,93,84,80,86,78,80,75,86,86,71,68,85,79,82,84,73,77,26,59,21,29,17,58,75,65,53,technical_finishing_attackers
Luiz Frello Filho Jorge,75,69,80,73,83,85,79,72,57,71,62,71,84,87,75,76,89,87,75,78,56,59,78,70,58,79,66,79,all_rounders_passers
Francesc Fàbregas i Soler,56,54,62,75,81,85,92,75,73,77,72,81,78,91,85,81,90,89,78,50,74,64,59,58,63,60,61,45,all_rounders_passers
Willian Borges da Silva,91,86,89,79,82,84,79,80,77,79,81,59,70,83,76,83,80,77,82,55,31,43,57,51,41,85,60,44,technical_finishing_attackers
Corentin Tolisso,76,66,75,74,84,82,74,80,75,83,81,62,70,81,67,73,85,87,66,77,83,75,79,71,91,88,77,82,all_rounders_passers
Leon Goretzka,85,84,76,70,84,84,80,78,72,78,79,68,60,83,75,75,85,79,76,84,75,70,80,79,67,87,70,81,all_rounders_passers
Kingsley Coman,96,93,88,84,81,83,75,80,77,78,73,78,70,76,82,70,78,63,85,23,54,30,17,15,76,77,62,36,technical_finishing_attackers
Naby Keïta,79,60,90,91,82,89,79,75,75,77,74,71,58,82,62,70,89,79,64,76,42,69,62,61,53,83,58,79,all_rounders_passers
Henrikh Mkhitaryan,85,79,87,85,81,86,76,82,76,85,73,81,72,84,77,64,81,72,83,64,53,41,53,55,69,83,62,69,technical_finishing_attackers
Alexandre Lacazette,79,83,85,84,85,83,85,86,86,81,75,81,84,74,64,71,80,59,74,40,73,29,42,30,75,75,71,70,technical_finishing_attackers
Sokratis Papastathopoulos,64,73,60,64,81,58,82,49,44,77,48,46,24,45,47,35,60,51,29,77,85,85,87,85,86,69,86,88,def_ball_winners
José Ignacio Fernández Iglesias,70,79,60,69,80,79,74,38,32,55,28,39,46,53,71,37,81,61,55,82,83,75,87,86,82,78,80,78,def_ball_winners
Lucas Vázquez Iglesias,85,79,79,85,86,84,67,82,73,83,81,54,56,84,87,75,84,75,83,44,53,42,51,44,69,91,57,65,technical_finishing_attackers
Felipe Augusto de Almeida Monteiro,60,68,52,57,78,63,76,34,39,47,42,45,48,50,45,30,75,68,32,81,81,86,86,79,91,78,87,93,def_ball_winners
Danilo Luís Hélio Pereira,63,69,58,60,77,79,85,70,61,77,66,55,52,74,50,53,83,80,48,85,78,84,85,75,67,83,90,85,all_rounders_passers
Daniele De Rossi,63,68,64,73,81,78,88,55,50,82,73,75,76,71,57,71,82,81,62,88,81,91,82,80,77,74,82,85,all_rounders_passers
Julian Draxler,79,77,80,75,83,90,83,79,78,87,83,85,63,85,84,76,85,79,78,67,66,39,65,44,76,70,67,48,technical_finishing_attackers
Presnel Kimpembe,75,79,75,65,80,79,81,40,31,56,40,33,51,60,62,32,80,76,50,84,79,80,84,84,77,80,85,86,def_ball_winners
Adrien Rabiot,73,75,79,72,84,84,83,77,69,81,80,72,69,81,70,59,86,84,73,81,77,70,82,75,73,83,81,76,all_rounders_passers
Stefan Savic,55,62,62,49,83,69,76,29,34,44,31,27,38,41,35,28,73,70,34,85,86,87,83,85,88,58,78,84,strong_defensive_minded
Thomas Lemar,87,84,88,87,80,87,80,78,75,80,77,79,68,86,84,81,85,75,86,67,54,55,60,64,72,80,63,63,all_rounders_passers
Asier Illarramendi,66,57,71,75,84,83,79,79,72,69,76,58,50,86,68,68,86,82,76,87,51,50,83,80,63,77,68,76,all_rounders_passers
Luis Miguel Afonso Fernandes,83,73,77,77,82,83,86,85,77,74,78,78,77,84,79,76,84,83,84,73,45,67,67,52,67,87,59,74,all_rounders_passers
Kamil Glik,50,53,34,51,79,60,80,24,27,58,20,17,40,23,29,26,64,60,35,84,86,82,86,82,81,72,91,87,strong_defensive_minded
Ricardo Andrade Quaresma Bernardo,84,82,91,84,78,88,80,78,67,79,80,80,74,84,92,73,79,75,94,24,41,29,17,13,63,65,55,74,technical_finishing_attackers
Memphis Depay,90,87,82,79,79,85,76,84,79,88,82,70,75,79,80,89,79,74,86,31,66,29,31,20,74,80,81,76,technical_finishing_attackers
William Silva de Carvalho,49,53,51,51,75,79,89,64,52,59,55,50,60,83,68,50,84,86,79,84,73,84,85,68,69,84,89,75,all_rounders_passers
Dimitri Payet,75,72,79,80,75,90,82,77,76,78,81,77,74,87,87,84,84,80,90,37,59,32,36,39,48,73,72,57,technical_finishing_attackers
Florian Thauvin,87,79,86,71,83,84,82,82,79,83,82,70,69,80,83,72,83,76,86,42,75,46,29,31,76,83,66,56,technical_finishing_attackers
Alejandro Gómez,94,86,92,94,83,87,84,81,76,76,79,72,72,85,82,79,82,74,79,40,38,50,30,34,70,75,48,56,technical_finishing_attackers
Federico Bernardeschi,84,84,86,79,80,88,83,79,69,81,83,74,72,81,83,81,83,70,83,67,48,66,46,42,49,81,63,52,technical_finishing_attackers
Daniele Rugani,56,68,59,53,79,66,71,28,33,59,40,35,36,50,40,25,66,60,45,87,80,88,87,82,82,67,80,72,strong_defensive_minded
Ömer Toprak,71,85,64,61,82,73,79,35,28,63,29,48,44,59,49,33,77,71,44,81,81,84,85,85,81,67,79,70,def_ball_winners
Mario Götze,75,65,88,85,84,91,85,80,76,68,66,87,78,87,78,72,88,82,81,66,51,64,53,56,58,75,69,58,all_rounders_passers
Axel Witsel,67,75,82,60,82,83,87,76,71,79,75,67,82,79,69,68,84,79,69,81,78,74,73,71,72,89,81,78,all_rounders_passers
Frederico R. de Paula Santos,77,82,85,88,83,87,83,69,75,77,77,70,65,76,67,72,86,81,70,81,55,77,79,69,84,88,61,74,all_rounders_passers
Antonio Valencia,83,87,72,78,84,82,83,74,60,86,66,64,55,71,80,66,82,71,70,84,62,78,83,80,69,82,80,81,all_rounders_passers
Ander Herrera Agüera,76,68,79,78,84,85,85,79,71,76,69,65,80,82,74,65,84,81,81,87,58,79,82,77,61,88,67,87,all_rounders_passers
Jesse Lingard,85,79,87,87,83,83,85,87,79,80,81,70,65,83,74,63,79,66,81,53,65,66,50,44,63,88,56,74,technical_finishing_attackers
Eric Bailly,67,80,65,62,76,69,73,48,33,56,49,43,47,54,51,43,73,56,46,85,80,81,83,84,86,72,86,88,def_ball_winners
John Stones,67,72,61,59,78,79,81,49,29,47,39,27,45,67,62,29,82,73,47,79,82,85,85,82,71,80,77,80,def_ball_winners
Clément Lenglet,72,74,62,60,80,77,75,48,23,59,36,24,44,61,36,27,79,70,25,81,77,90,82,81,80,73,81,81,def_ball_winners
Rafael Alcântara,72,71,80,80,79,85,80,78,73,80,83,77,67,82,72,61,87,76,75,71,55,68,75,66,74,68,67,44,all_rounders_passers
Ousmane Dembélé,92,88,90,85,82,84,73,79,77,83,66,77,76,85,78,64,77,70,79,37,44,43,30,33,60,74,46,54,technical_finishing_attackers
Mateo Kovacic,84,74,80,85,68,89,72,69,62,79,75,76,59,88,73,68,87,82,78,78,42,69,75,63,63,82,65,77,all_rounders_passers
Alvaro Borja Morata Martín,76,86,66,60,79,82,78,85,81,80,74,80,70,76,73,44,78,51,76,24,86,37,14,20,84,68,78,56,technical_finishing_attackers
David Luiz Moreira Marinho,59,62,69,56,75,79,77,54,55,79,73,63,75,69,68,76,77,77,70,85,81,79,83,82,78,66,79,85,all_rounders_passers
Serge Gnabry,93,90,88,89,80,83,73,78,80,86,82,84,68,68,75,62,78,67,64,38,47,46,47,46,64,69,69,63,technical_finishing_attackers
Jordan Henderson,68,67,70,70,81,81,79,76,67,76,72,73,64,84,81,74,85,85,80,81,65,77,80,76,80,92,72,77,all_rounders_passers
